date,company,role,url,status,match_score,resume_file,cover_letter_file,notes,follow_up_date
2026-03-15,Microsoft,Software Engineer II - Full Stack (Azure Fabric),https://www.linkedin.com/jobs/view/4375689379/,Ready to Apply,Strong,logs/resumes/2026-03-15/Microsoft-SoftwareEngineerIIFullStack-2026-03-15.tex,logs/cover-letters/Microsoft-SoftwareEngineerIIFullStack-2026-03-15.md,React/TS/Next.js exact match; Databricks exposure from Canada Life covers data platform req partially; CAD $85K-166K,2026-03-22
2026-03-15,Wave HQ,Full Stack Software Engineer II,https://www.linkedin.com/jobs/view/4384390339/,Ready to Apply,Good,logs/resumes/2026-03-15/WaveHQ-FullStackSoftwareEngineerII-2026-03-15.tex,logs/cover-letters/WaveHQ-FullStackSoftwareEngineerII-2026-03-15.md,React strong match; Django gap (has Python but not Django); great fintech domain fit; Canadian company,2026-03-22
2026-03-15,Toast,Software Engineer II - Enterprise,https://www.linkedin.com/jobs/view/4375644470/,Ready to Apply,Good,logs/resumes/2026-03-15/Toast-SoftwareEngineerIIEnterprise-2026-03-15.tex,logs/cover-letters/Toast-SoftwareEngineerIIEnterprise-2026-03-15.md,Java/Kotlin gap disclosed in cover letter; React is a plus; remote Ontario; CAD $92K-147K,2026-03-22
2026-03-15,Hunter Bond (buy-side fund),Junior Front-End Engineer,https://www.linkedin.com/jobs/view/4382025763/,Ready to Apply,Good,logs/resumes/2026-03-15/HunterBond-JuniorFrontendEngineer-2026-03-15.tex,logs/cover-letters/HunterBond-JuniorFrontendEngineer-2026-03-15.md,React/TS/Next.js perfect match; Montreal hybrid (Nicholas in Ontario — flag); up to $130K CAD; apply via hhandelman@hunterbond.com,2026-03-22
2026-03-15,Affirm,Software Engineer II - Backend (Fraud),https://www.linkedin.com/jobs/view/4374051975/,Ready to Apply,Stretch,logs/resumes/2026-03-15/Affirm-SoftwareEngineerIIBackendFraud-2026-03-15.tex,logs/cover-letters/Affirm-SoftwareEngineerIIBackendFraud-2026-03-15.md,Python/Kotlin gap disclosed; strong on AWS/K8s/security angle; remote-first Canada; CAD $125K-175K,2026-03-22
2026-03-16,Lattice,Software Engineer,https://www.linkedin.com/jobs/view/4384993283/,Ready to Apply,Strong,logs/resumes/2026-03-16/Lattice-SoftwareEngineer-2026-03-16.tex,logs/cover-letters/Lattice-SoftwareEngineer-2026-03-16.md,TypeScript/React/GraphQL/Node.js/PostgreSQL/AWS perfect match; Ontario-only remote; CAD $90K-120K + equity,2026-03-23
2026-03-16,Dropbox,Fullstack Product Software Engineer,https://www.linkedin.com/jobs/view/4374116574/,Ready to Apply,Strong,logs/resumes/2026-03-16/Dropbox-FullstackProductSoftwareEngineer-2026-03-16.tex,logs/cover-letters/Dropbox-FullstackProductSoftwareEngineer-2026-03-16.md,React/Node.js/PostgreSQL strong match; remote Ontario; CAD $168K-228K + RSUs — significantly above target range (upside); on-call rotation expected,2026-03-23
2026-03-16,Ticketmaster (Universe),Intermediate Software Developer,https://www.linkedin.com/jobs/view/4351314103/,Ready to Apply,Strong,logs/resumes/2026-03-16/Ticketmaster-IntermediateSoftwareDeveloper-2026-03-16.tex,logs/cover-letters/Ticketmaster-IntermediateSoftwareDeveloper-2026-03-16.md,TypeScript/Next.js/Node.js/Postgres/GraphQL/Kubernetes exact match; migrating from Rails to TS stack; Toronto hybrid; CAD $88K-110K,2026-03-23
2026-03-16,StackAdapt,Full Stack Engineer Creatives,https://www.linkedin.com/jobs/view/4384212245/,Ready to Apply,Good,logs/resumes/2026-03-16/StackAdapt-FullStackEngineerCreatives-2026-03-16.tex,logs/cover-letters/StackAdapt-FullStackEngineerCreatives-2026-03-16.md,React/TypeScript/GraphQL strong; Ruby on Rails gap (preferred not required); leading Canadian DSP; remote Canada; salary not listed,2026-03-23
2026-03-16,Bally's Interactive,Software Developer (Platform Services),https://www.linkedin.com/jobs/view/4383828023/,Ready to Apply,Good,logs/resumes/2026-03-16/BallysInteractive-SoftwareDeveloperPlatformServices-2026-03-16.tex,logs/cover-letters/BallysInteractive-SoftwareDeveloperPlatformServices-2026-03-16.md,TypeScript/Node.js/AWS/Docker/Kubernetes match; iGaming platform; hybrid 3d/week; CAD $90K-120K + bonus; confirm office city,2026-03-23
2026-03-17,Veeva Systems,Software Engineer - Front End,https://www.linkedin.com/jobs/view/4385636252/,Ready to Apply,Strong,logs/resumes/2026-03-17/VeevaSystems-SoftwareEngineerFrontEnd-2026-03-17.tex,logs/cover-letters/VeevaSystems-SoftwareEngineerFrontEnd-2026-03-17.md,React/TS/Jest/RTL exact match; remote Canada; $100K-$175K CAD; life sciences SaaS; 3 OMERS alumni at Veeva,2026-03-24
2026-03-17,BenchSci,Software Engineer Gen AI & Web Apps,https://www.linkedin.com/jobs/view/4383756878/,Ready to Apply,Good,logs/resumes/2026-03-17/BenchSci-SoftwareEngineerGenAIWebApps-2026-03-17.tex,logs/cover-letters/BenchSci-SoftwareEngineerGenAIWebApps-2026-03-17.md,React/TS strong; Django gap (Node.js/NestJS instead); GenAI angle via FinSplain; Toronto hybrid; $100K-$125K CAD; 8 YorkU alumni,2026-03-24
2026-03-17,Autodesk,Software Developer (Informed Design),https://www.linkedin.com/jobs/view/4383977104/,Ready to Apply,Good,logs/resumes/2026-03-17/Autodesk-SoftwareDeveloper-2026-03-17.tex,logs/cover-letters/Autodesk-SoftwareDeveloper-2026-03-17.md,TypeScript/PostgreSQL/AWS/Jest/JMeter match; C# gap; remote Canada; $88K-$128.7K CAD; 1 OMERS alum connection; AEC domain,2026-03-24
